Angle DP_number Thrust_angle_deg_thr_1_:_thr1 Rudder_angle_deg_thr1_:_thr1 Nominal_thrust_utilisation_%_thr1_:_thr1 Effective_thrust_kN_thr1_:_thr1 Tx_rudder_kN_thr1_:_thr1 Ty_rudder_kN_thr1_:_thr1 Thrust_loss_factor_thr1_:_thr1 Utilized_power_kW_thr1_:_thr1 Thrust_angle_deg_thr_2_:_thr2 Rudder_angle_deg_thr2_:_thr2 Nominal_thrust_utilisation_%_thr2_:_thr2 Effective_thrust_kN_thr2_:_thr2 Tx_rudder_kN_thr2_:_thr2 Ty_rudder_kN_thr2_:_thr2 Thrust_loss_factor_thr2_:_thr2 Utilized_power_kW_thr2_:_thr2 Thrust_angle_deg_thr_3_:_thr3 Rudder_angle_deg_thr3_:_thr3 Nominal_thrust_utilisation_%_thr3_:_thr3 Effective_thrust_kN_thr3_:_thr3 Tx_rudder_kN_thr3_:_thr3 Ty_rudder_kN_thr3_:_thr3 Thrust_loss_factor_thr3_:_thr3 Utilized_power_kW_thr3_:_thr3 Thrust_angle_deg_thr_4_:_thr4 Rudder_angle_deg_thr4_:_thr4 Nominal_thrust_utilisation_%_thr4_:_thr4 Effective_thrust_kN_thr4_:_thr4 Tx_rudder_kN_thr4_:_thr4 Ty_rudder_kN_thr4_:_thr4 Thrust_loss_factor_thr4_:_thr4 Utilized_power_kW_thr4_:_thr4 Thrust_angle_deg_thr_5_:_thr5 Rudder_angle_deg_thr5_:_thr5 Nominal_thrust_utilisation_%_thr5_:_thr5 Effective_thrust_kN_thr5_:_thr5 Tx_rudder_kN_thr5_:_thr5 Ty_rudder_kN_thr5_:_thr5 Thrust_loss_factor_thr5_:_thr5 Utilized_power_kW_thr5_:_thr5 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_thr1 solution_Ty_kN_thr_:_thr1 solution_Tx_kN_thr_:_thr2 solution_Ty_kN_thr_:_thr2 solution_Tx_kN_thr_:_thr3 solution_Ty_kN_thr_:_thr3 solution_Tx_kN_thr_:_thr4 solution_Ty_kN_thr_:_thr4 solution_Tx_kN_thr_:_thr5 solution_Ty_kN_thr_:_thr5
10 1 0 N/A 0.18 0.32 N/A N/A 0.9 0 306 N/A 0.23 0.4 N/A N/A 0.9 0 285 N/A 0.67 0.89 N/A N/A 0.9 0 270 N/A 0.51 0.53 N/A N/A 0.9 0 270 N/A 0.53 0.55 N/A N/A 0.9 0 -0.2 1.5 38.8 -0.1 0.1 0.3 -0.4 0.3 7.6 0.3 0.0 0.2 -0.3 0.2 -0.9 0.0 -0.5 0.0 -0.5
10 2 0 N/A 0.99 1.74 N/A N/A 0.9 1 308 N/A 1.31 2.29 N/A N/A 0.9 2 289 N/A 3.1 4.08 N/A N/A 0.9 5 270 N/A 2.31 2.4 N/A N/A 0.9 3 270 N/A 2.37 2.47 N/A N/A 0.9 3 -0.8 5.9 155.3 -0.8 1.2 4.7 -1.9 1.3 38.9 1.7 -0.0 1.4 -1.8 1.3 -3.9 0.0 -2.4 0.0 -2.5
10 3 333 N/A 3.15 5.51 N/A N/A 0.9 7 327 N/A 2.63 4.6 N/A N/A 0.9 6 292 N/A 7.59 10.02 N/A N/A 0.9 18 270 N/A 5.59 5.82 N/A N/A 0.9 12 270 N/A 5.79 6.03 N/A N/A 0.9 13 -1.9 13.3 349.4 -3.3 4.2 16.6 -4.8 3.4 98.1 4.9 -2.5 3.9 -2.5 3.8 -9.3 0.0 -5.8 0.0 -6.0
10 4 338 N/A 5.86 10.25 N/A N/A 0.89 19 335 N/A 5.16 9.01 N/A N/A 0.89 16 301 N/A 11.11 14.66 N/A N/A 0.9 33 270 N/A 7.55 7.85 N/A N/A 0.9 19 270 N/A 7.81 8.12 N/A N/A 0.9 20 -1.9 13.3 349.4 -7.9 8.5 33.3 -10.4 7.2 210.0 9.5 -3.8 8.2 -3.8 7.6 -12.6 0.0 -7.9 0.0 -8.1
10 5 340 N/A 10.58 18.41 N/A N/A 0.89 46 338 N/A 9.6 16.71 N/A N/A 0.89 39 308 N/A 17.4 22.96 N/A N/A 0.9 64 270 N/A 10.83 11.25 N/A N/A 0.9 32 270 N/A 11.18 11.61 N/A N/A 0.9 34 -1.9 13.3 349.4 -16.7 16.3 63.8 -19.0 13.2 385.3 17.3 -6.3 15.5 -6.3 14.2 -18.0 0.0 -11.2 0.0 -11.6
10 6 341 N/A 17.16 29.56 N/A N/A 0.88 94 340 N/A 15.82 27.26 N/A N/A 0.88 83 313 N/A 26.45 34.89 N/A N/A 0.9 120 270 N/A 15.33 15.88 N/A N/A 0.9 54 270 N/A 15.81 16.38 N/A N/A 0.9 57 -1.9 13.3 349.4 -28.3 26.2 102.5 -31.6 22.0 640.9 28.0 -9.5 25.6 -9.5 23.7 -25.6 0.0 -15.9 0.0 -16.4
10 7 342 N/A 26.63 45.22 N/A N/A 0.87 182 340 N/A 24.82 42.15 N/A N/A 0.87 164 316 N/A 39.77 52.47 N/A N/A 0.9 221 270 N/A 21.77 22.44 N/A N/A 0.89 91 270 N/A 22.43 23.12 N/A N/A 0.89 96 -1.9 13.3 349.4 -45.7 41.5 162.5 -48.6 33.8 984.0 42.9 -14.2 39.7 -14.2 37.5 -36.7 0.0 -22.4 0.0 -23.1
10 8 342 N/A 38.39 63.71 N/A N/A 0.85 315 341 N/A 36.0 59.76 N/A N/A 0.85 286 318 N/A 56.93 75.11 N/A N/A 0.9 378 270 N/A 29.59 30.19 N/A N/A 0.88 145 270 N/A 30.46 31.08 N/A N/A 0.88 151 -1.9 13.3 349.4 -65.3 57.7 226.1 -71.2 49.6 1441.9 60.7 -19.5 56.5 -19.5 55.7 -50.4 0.0 -30.2 0.0 -31.1
10 9 342 N/A 55.73 88.34 N/A N/A 0.81 551 341 N/A 52.73 83.57 N/A N/A 0.81 507 320 N/A 83.95 110.77 N/A N/A 0.9 677 270 N/A 40.7 40.46 N/A N/A 0.86 234 270 N/A 41.83 41.58 N/A N/A 0.86 243 -1.9 13.3 349.4 -97.2 85.1 333.4 -98.9 68.9 2003.5 83.8 -27.9 78.8 -27.9 84.8 -71.2 0.0 -40.5 0.0 -41.6
10 10 343 N/A 81.98 122.01 N/A N/A 0.76 984 342 N/A 77.52 115.36 N/A N/A 0.76 904 321 N/A 99.0 130.62 N/A N/A 0.9 867 270 N/A 59.55 56.66 N/A N/A 0.82 414 270 N/A 61.25 58.27 N/A N/A 0.82 431 -1.9 13.3 349.4 -126.2 108.9 426.6 -133.9 93.3 2714.2 116.6 -36.0 109.6 -36.0 101.4 -82.4 0.0 -56.7 0.0 -58.3
