Angle DP_number Thrust_angle_deg_thr_1_:_thr1 Rudder_angle_deg_thr1_:_thr1 Nominal_thrust_utilisation_%_thr1_:_thr1 Effective_thrust_kN_thr1_:_thr1 Tx_rudder_kN_thr1_:_thr1 Ty_rudder_kN_thr1_:_thr1 Thrust_loss_factor_thr1_:_thr1 Utilized_power_kW_thr1_:_thr1 Thrust_angle_deg_thr_2_:_thr2 Rudder_angle_deg_thr2_:_thr2 Nominal_thrust_utilisation_%_thr2_:_thr2 Effective_thrust_kN_thr2_:_thr2 Tx_rudder_kN_thr2_:_thr2 Ty_rudder_kN_thr2_:_thr2 Thrust_loss_factor_thr2_:_thr2 Utilized_power_kW_thr2_:_thr2 Thrust_angle_deg_thr_3_:_thr3 Rudder_angle_deg_thr3_:_thr3 Nominal_thrust_utilisation_%_thr3_:_thr3 Effective_thrust_kN_thr3_:_thr3 Tx_rudder_kN_thr3_:_thr3 Ty_rudder_kN_thr3_:_thr3 Thrust_loss_factor_thr3_:_thr3 Utilized_power_kW_thr3_:_thr3 Thrust_angle_deg_thr_4_:_thr4 Rudder_angle_deg_thr4_:_thr4 Nominal_thrust_utilisation_%_thr4_:_thr4 Effective_thrust_kN_thr4_:_thr4 Tx_rudder_kN_thr4_:_thr4 Ty_rudder_kN_thr4_:_thr4 Thrust_loss_factor_thr4_:_thr4 Utilized_power_kW_thr4_:_thr4 Thrust_angle_deg_thr_5_:_thr5 Rudder_angle_deg_thr5_:_thr5 Nominal_thrust_utilisation_%_thr5_:_thr5 Effective_thrust_kN_thr5_:_thr5 Tx_rudder_kN_thr5_:_thr5 Ty_rudder_kN_thr5_:_thr5 Thrust_loss_factor_thr5_:_thr5 Utilized_power_kW_thr5_:_thr5 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_thr1 solution_Ty_kN_thr_:_thr1 solution_Tx_kN_thr_:_thr2 solution_Ty_kN_thr_:_thr2 solution_Tx_kN_thr_:_thr3 solution_Ty_kN_thr_:_thr3 solution_Tx_kN_thr_:_thr4 solution_Ty_kN_thr_:_thr4 solution_Tx_kN_thr_:_thr5 solution_Ty_kN_thr_:_thr5
100 7 279 N/A 99.02 165.83 N/A N/A 0.86 1306 246 N/A 98.57 151.87 N/A N/A 0.79 1297 280 N/A 99.56 131.36 N/A N/A 0.9 874 270 N/A 95.54 97.91 N/A N/A 0.89 840 270 N/A 95.52 97.89 N/A N/A 0.89 840 0.3 75.2 65.4 2.2 235.3 -657.0 8.6 191.8 600.1 25.1 -163.9 -61.8 -138.7 22.8 -129.4 0.0 -97.9 0.0 -97.9
110 7 274 N/A 99.22 166.53 N/A N/A 0.86 1310 246 N/A 96.91 149.63 N/A N/A 0.79 1264 275 N/A 99.01 130.64 N/A N/A 0.9 867 270 N/A 81.13 83.22 N/A N/A 0.89 658 270 N/A 80.67 82.75 N/A N/A 0.89 652 0.6 71.7 -213.6 14.2 224.5 -794.3 16.9 183.0 44.5 10.7 -166.2 -60.9 -136.7 10.6 -130.2 0.0 -83.2 0.0 -82.8
120 7 269 N/A 94.91 159.62 N/A N/A 0.86 1225 246 N/A 94.06 145.54 N/A N/A 0.79 1209 269 N/A 90.8 119.8 N/A N/A 0.9 761 270 N/A 68.44 70.27 N/A N/A 0.89 510 270 N/A 67.66 69.47 N/A N/A 0.89 501 0.9 66.1 -451.2 25.2 206.9 -886.3 24.7 168.7 -445.6 -3.1 -159.6 -59.2 -133.0 -1.2 -119.8 0.0 -70.3 0.0 -69.5
130 7 264 N/A 86.77 146.23 N/A N/A 0.86 1071 246 N/A 88.63 137.42 N/A N/A 0.79 1106 263 N/A 76.85 101.4 N/A N/A 0.9 593 270 N/A 57.3 58.89 N/A N/A 0.89 390 270 N/A 56.38 57.94 N/A N/A 0.89 381 1.2 58.5 -624.0 34.6 183.0 -920.4 31.7 149.2 -824.6 -15.9 -145.4 -55.9 -125.5 -12.6 -100.6 0.0 -58.9 0.0 -57.9
140 7 257 N/A 75.13 126.87 N/A N/A 0.86 863 246 N/A 78.94 122.64 N/A N/A 0.79 929 254 N/A 63.75 84.11 N/A N/A 0.9 448 270 N/A 45.84 47.15 N/A N/A 0.89 279 270 N/A 44.93 46.21 N/A N/A 0.89 271 1.5 49.1 -618.0 42.2 153.6 -886.8 37.8 125.2 -1053.1 -28.1 -123.7 -49.9 -112.0 -23.8 -80.7 0.0 -47.1 0.0 -46.2
150 8 246 N/A 85.49 140.97 N/A N/A 0.84 1047 246 N/A 91.53 138.85 N/A N/A 0.78 1160 238 N/A 75.12 99.12 N/A N/A 0.9 573 270 N/A 46.96 47.76 N/A N/A 0.88 290 270 N/A 45.86 46.64 N/A N/A 0.88 280 1.6 38.2 -480.7 69.3 166.2 -1083.5 62.6 142.7 -1612.1 -57.5 -128.7 -56.5 -126.8 -52.9 -83.8 0.0 -47.8 0.0 -46.6
160 9 232 N/A 99.01 155.93 N/A N/A 0.81 1305 244 N/A 98.54 139.21 N/A N/A 0.72 1296 216 N/A 99.39 131.13 N/A N/A 0.9 872 270 N/A 44.47 44.03 N/A N/A 0.86 267 270 N/A 42.68 42.26 N/A N/A 0.86 251 1.8 26.1 -328.8 114.1 167.7 -1218.2 94.3 135.6 -1923.5 -96.7 -122.3 -60.5 -125.4 -105.6 -77.7 0.0 -44.0 0.0 -42.3
170 9 236 N/A 99.23 157.28 N/A N/A 0.81 1310 180 N/A 57.28 90.79 N/A N/A 0.81 574 202 N/A 83.49 110.16 N/A N/A 0.9 671 270 N/A 20.22 20.1 N/A N/A 0.86 82 270 N/A 17.0 16.9 N/A N/A 0.86 63 1.9 13.3 -167.0 123.3 85.1 -681.9 98.9 68.9 -1175.3 -87.0 -131.0 -90.8 0.0 -102.2 -41.0 0.0 -20.1 0.0 -16.9
180 10 180 N/A 84.67 127.32 N/A N/A 0.77 1032 180 N/A 84.67 127.32 N/A N/A 0.77 1032 180 N/A 99.0 130.62 N/A N/A 0.9 867 N/A N/A 0.0 0.0 N/A N/A 0.83 0 N/A N/A 0.0 0.0 N/A N/A 0.83 0 1.9 0.0 -0.0 170.3 0.0 -0.0 136.0 0.0 -0.0 -127.3 0.0 -127.3 0.0 -130.6 -0.0 0.0 0.0 0.0 0.0
190 9 180 N/A 57.28 90.79 N/A N/A 0.81 574 124 N/A 99.23 157.28 N/A N/A 0.81 1310 158 N/A 83.49 110.16 N/A N/A 0.9 671 90 N/A 20.22 20.1 N/A N/A 0.86 82 90 N/A 17.0 16.9 N/A N/A 0.86 63 1.9 -13.3 167.0 123.3 -85.1 681.9 98.9 -68.9 1175.3 -90.8 0.0 -87.0 131.0 -102.2 41.0 0.0 20.1 0.0 16.9
