Angle DP_number Thrust_angle_deg_thr_1_:_azi_port Rudder_angle_deg_thr1_:_azi_port Nominal_thrust_utilisation_%_thr1_:_azi_port Effective_thrust_kN_thr1_:_azi_port Tx_rudder_kN_thr1_:_azi_port Ty_rudder_kN_thr1_:_azi_port Thrust_loss_factor_thr1_:_azi_port Utilized_power_kW_thr1_:_azi_port Thrust_angle_deg_thr_2_:_azi_stb Rudder_angle_deg_thr2_:_azi_stb Nominal_thrust_utilisation_%_thr2_:_azi_stb Effective_thrust_kN_thr2_:_azi_stb Tx_rudder_kN_thr2_:_azi_stb Ty_rudder_kN_thr2_:_azi_stb Thrust_loss_factor_thr2_:_azi_stb Utilized_power_kW_thr2_:_azi_stb Thrust_angle_deg_thr_3_:_tt1 Rudder_angle_deg_thr3_:_tt1 Nominal_thrust_utilisation_%_thr3_:_tt1 Effective_thrust_kN_thr3_:_tt1 Tx_rudder_kN_thr3_:_tt1 Ty_rudder_kN_thr3_:_tt1 Thrust_loss_factor_thr3_:_tt1 Utilized_power_kW_thr3_:_tt1 Thrust_angle_deg_thr_4_:_tt2 Rudder_angle_deg_thr4_:_tt2 Nominal_thrust_utilisation_%_thr4_:_tt2 Effective_thrust_kN_thr4_:_tt2 Tx_rudder_kN_thr4_:_tt2 Ty_rudder_kN_thr4_:_tt2 Thrust_loss_factor_thr4_:_tt2 Utilized_power_kW_thr4_:_tt2 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_azi_port solution_Ty_kN_thr_:_azi_port solution_Tx_kN_thr_:_azi_stb solution_Ty_kN_thr_:_azi_stb solution_Tx_kN_thr_:_tt1 solution_Ty_kN_thr_:_tt1 solution_Tx_kN_thr_:_tt2 solution_Ty_kN_thr_:_tt2
10 4 344 N/A 8.51 20.29 N/A N/A 0.9 56 342 N/A 7.65 18.24 N/A N/A 0.9 48 270 N/A 9.79 20.46 N/A N/A 0.9 50 270 N/A 10.09 21.08 N/A N/A 0.9 52 -3.0 20.1 517.3 -10.3 11.7 51.8 -16.2 10.6 343.3 19.5 -5.7 17.3 -5.7 0.0 -20.5 0.0 -21.1
10 5 346 N/A 15.5 36.95 N/A N/A 0.9 137 344 N/A 14.29 34.07 N/A N/A 0.9 122 270 N/A 14.24 29.75 N/A N/A 0.9 87 270 N/A 14.65 30.59 N/A N/A 0.9 91 -3.0 20.1 517.3 -22.2 23.4 104.1 -29.7 19.5 629.8 35.8 -9.2 32.8 -9.2 0.0 -29.7 0.0 -30.6
10 6 347 N/A 25.32 60.32 N/A N/A 0.9 287 346 N/A 23.62 56.28 N/A N/A 0.9 258 270 N/A 20.41 42.62 N/A N/A 0.9 149 270 N/A 20.96 43.7 N/A N/A 0.9 155 -3.0 20.1 517.3 -38.3 38.7 171.9 -49.3 32.4 1047.6 58.7 -13.8 54.6 -13.8 0.0 -42.6 0.0 -43.7
10 7 347 N/A 39.21 93.3 N/A N/A 0.9 552 346 N/A 36.84 87.65 N/A N/A 0.9 503 270 N/A 29.26 61.04 N/A N/A 0.9 256 270 N/A 29.94 62.2 N/A N/A 0.89 265 -3.0 20.1 517.3 -62.2 61.9 275.1 -75.7 49.7 1608.6 91.0 -20.7 85.2 -20.7 0.0 -61.0 0.0 -62.2
10 8 348 N/A 56.56 134.29 N/A N/A 0.9 957 347 N/A 53.29 126.51 N/A N/A 0.9 875 270 N/A 40.27 83.81 N/A N/A 0.9 414 270 N/A 41.01 84.55 N/A N/A 0.89 425 -3.0 20.1 517.3 -89.6 87.3 388.0 -111.0 72.9 2357.2 131.2 -28.5 123.3 -28.5 0.0 -83.8 0.0 -84.5
10 9 348 N/A 81.28 191.83 N/A N/A 0.89 1649 347 N/A 76.72 181.07 N/A N/A 0.89 1512 270 N/A 56.65 116.98 N/A N/A 0.89 691 270 N/A 56.92 114.92 N/A N/A 0.87 696 -3.0 20.1 517.3 -133.9 129.4 575.1 -154.2 101.2 3275.2 187.5 -40.7 176.4 -40.7 0.0 -117.0 0.0 -114.9
20 1 0 N/A 0.29 0.7 N/A N/A 0.9 0 293 N/A 0.51 1.22 N/A N/A 0.9 1 270 N/A 1.3 2.72 N/A N/A 0.9 2 270 N/A 1.33 2.79 N/A N/A 0.9 2 -0.3 4.4 113.2 -0.1 0.2 0.6 -0.6 0.8 21.9 0.7 0.0 0.5 -1.1 0.0 -2.7 0.0 -2.8
20 2 324 N/A 2.03 4.83 N/A N/A 0.9 6 312 N/A 1.61 3.83 N/A N/A 0.9 5 270 N/A 5.75 12.02 N/A N/A 0.9 22 270 N/A 5.94 12.41 N/A N/A 0.9 23 -1.3 17.6 452.9 -1.0 2.7 9.7 -2.9 3.9 112.5 3.9 -2.9 2.6 -2.9 0.0 -12.0 0.0 -12.4
20 3 324 N/A 5.42 12.93 N/A N/A 0.9 28 313 N/A 4.43 10.57 N/A N/A 0.9 21 270 N/A 13.99 29.23 N/A N/A 0.9 85 270 N/A 14.43 30.15 N/A N/A 0.9 89 -2.9 39.5 1018.9 -4.1 10.5 37.8 -7.2 9.8 283.8 10.4 -7.7 7.3 -7.7 0.0 -29.2 0.0 -30.1
20 4 329 N/A 9.66 23.02 N/A N/A 0.9 68 323 N/A 8.25 19.66 N/A N/A 0.9 53 270 N/A 19.01 39.73 N/A N/A 0.9 134 270 N/A 19.58 40.89 N/A N/A 0.9 140 -2.9 39.5 1018.9 -10.1 23.0 82.7 -15.4 20.9 607.5 19.8 -11.8 15.7 -11.8 0.0 -39.7 0.0 -40.9
