Angle DP_number Thrust_angle_deg_thr_1_:_azi_port Rudder_angle_deg_thr1_:_azi_port Nominal_thrust_utilisation_%_thr1_:_azi_port Effective_thrust_kN_thr1_:_azi_port Tx_rudder_kN_thr1_:_azi_port Ty_rudder_kN_thr1_:_azi_port Thrust_loss_factor_thr1_:_azi_port Utilized_power_kW_thr1_:_azi_port Thrust_angle_deg_thr_2_:_azi_stb Rudder_angle_deg_thr2_:_azi_stb Nominal_thrust_utilisation_%_thr2_:_azi_stb Effective_thrust_kN_thr2_:_azi_stb Tx_rudder_kN_thr2_:_azi_stb Ty_rudder_kN_thr2_:_azi_stb Thrust_loss_factor_thr2_:_azi_stb Utilized_power_kW_thr2_:_azi_stb Thrust_angle_deg_thr_3_:_tt1 Rudder_angle_deg_thr3_:_tt1 Nominal_thrust_utilisation_%_thr3_:_tt1 Effective_thrust_kN_thr3_:_tt1 Tx_rudder_kN_thr3_:_tt1 Ty_rudder_kN_thr3_:_tt1 Thrust_loss_factor_thr3_:_tt1 Utilized_power_kW_thr3_:_tt1 Thrust_angle_deg_thr_4_:_tt2 Rudder_angle_deg_thr4_:_tt2 Nominal_thrust_utilisation_%_thr4_:_tt2 Effective_thrust_kN_thr4_:_tt2 Tx_rudder_kN_thr4_:_tt2 Ty_rudder_kN_thr4_:_tt2 Thrust_loss_factor_thr4_:_tt2 Utilized_power_kW_thr4_:_tt2 Fx_current_kN Fy_current_kN Mz_currentk_N Fx_wave_kN Fy_wave_kN Mz_wave_kN Fx_wind_kN Fy_wind_kN Mz_wind_kN solution_Tx_kN_thr_:_azi_port solution_Ty_kN_thr_:_azi_port solution_Tx_kN_thr_:_azi_stb solution_Ty_kN_thr_:_azi_stb solution_Tx_kN_thr_:_tt1 solution_Ty_kN_thr_:_tt1 solution_Tx_kN_thr_:_tt2 solution_Ty_kN_thr_:_tt2
110 6 245 N/A 76.39 181.94 N/A N/A 0.9 1502 287 N/A 56.66 134.95 N/A N/A 0.9 960 270 N/A 77.67 162.17 N/A N/A 0.9 1109 270 N/A 77.21 160.85 N/A N/A 0.9 1099 1.1 108.6 -832.4 12.7 209.3 -833.6 17.1 175.2 -95.5 -78.0 -164.4 39.5 -129.1 0.0 -162.2 0.0 -160.8
120 6 239 N/A 79.7 189.84 N/A N/A 0.9 1601 287 N/A 53.51 127.45 N/A N/A 0.9 881 270 N/A 68.5 143.03 N/A N/A 0.9 918 270 N/A 67.72 141.1 N/A N/A 0.9 903 1.5 100.1 -1206.2 22.6 192.9 -930.9 25.0 161.5 -619.3 -98.8 -162.1 37.3 -121.9 0.0 -143.0 0.0 -141.1
130 6 233 N/A 80.5 191.74 N/A N/A 0.9 1625 287 N/A 48.15 114.69 N/A N/A 0.9 752 270 N/A 57.94 120.99 N/A N/A 0.9 714 270 N/A 56.93 118.64 N/A N/A 0.9 696 2.0 88.5 -1455.2 31.2 170.7 -967.2 32.2 142.8 -1017.8 -115.3 -153.2 33.5 -109.7 0.0 -121.0 0.0 -118.6
140 6 227 N/A 78.16 186.19 N/A N/A 0.9 1555 287 N/A 40.08 95.46 N/A N/A 0.9 571 270 N/A 47.03 98.21 N/A N/A 0.9 522 270 N/A 45.95 95.76 N/A N/A 0.9 505 2.4 74.3 -1384.0 38.3 143.2 -932.2 38.4 119.9 -1248.3 -126.7 -136.4 27.9 -91.3 0.0 -98.2 0.0 -95.8
150 7 265 N/A 85.81 204.11 N/A N/A 0.9 1788 207 N/A 96.75 178.35 N/A N/A 0.7 2141 270 N/A 46.57 97.12 N/A N/A 0.9 515 270 N/A 44.19 91.69 N/A N/A 0.89 476 2.7 57.8 -1076.5 71.8 178.2 -1310.3 66.6 143.2 -1961.9 -17.8 -203.3 -158.5 -81.8 0.0 -97.1 0.0 -91.7
160 8 228 N/A 97.64 231.74 N/A N/A 0.9 2171 216 N/A 98.1 152.74 N/A N/A 0.59 2186 270 N/A 45.22 94.08 N/A N/A 0.9 493 270 N/A 42.93 88.4 N/A N/A 0.89 456 2.9 39.5 -736.4 114.9 171.9 -1409.0 105.9 143.5 -2438.7 -156.4 -171.0 -123.3 -90.2 0.0 -94.1 0.0 -88.4
170 8 217 N/A 77.89 184.93 N/A N/A 0.9 1547 190 N/A 64.67 153.55 N/A N/A 0.9 1170 270 N/A 21.79 45.36 N/A N/A 0.9 165 270 N/A 20.05 41.34 N/A N/A 0.89 145 3.0 20.1 -373.9 124.7 87.3 -788.9 111.0 72.9 -1477.9 -147.2 -111.9 -151.2 -26.7 0.0 -45.4 0.0 -41.3
180 9 180 N/A 94.94 224.26 N/A N/A 0.89 2081 180 N/A 94.94 224.26 N/A N/A 0.89 2081 N/A N/A 0.0 0.0 N/A N/A 0.89 0 N/A N/A 0.0 0.0 N/A N/A 0.87 0 3.1 0.0 -0.0 199.1 0.0 -0.0 156.6 0.0 -0.0 -224.3 -0.0 -224.3 -0.0 0.0 0.0 0.0 -0.0
190 8 170 N/A 64.67 153.55 N/A N/A 0.9 1170 143 N/A 77.89 184.93 N/A N/A 0.9 1547 90 N/A 21.79 45.36 N/A N/A 0.9 165 90 N/A 20.05 41.34 N/A N/A 0.89 145 3.0 -20.1 373.9 124.7 -87.3 788.9 111.0 -72.9 1477.9 -151.2 26.7 -147.2 111.9 0.0 45.4 0.0 41.3
200 8 144 N/A 98.1 152.74 N/A N/A 0.59 2186 132 N/A 97.64 231.74 N/A N/A 0.9 2171 90 N/A 45.22 94.08 N/A N/A 0.9 493 90 N/A 42.93 88.4 N/A N/A 0.89 456 2.9 -39.5 736.4 114.9 -171.9 1409.0 105.9 -143.5 2438.7 -123.3 90.2 -156.4 171.0 0.0 94.1 0.0 88.4
